version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 554777593914 eni-05784332a71d1bdd5 240.0.60.124 10.0.0.7 0 0 1 1 88 1621804407 1621804419 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 244.0.5.30 10.0.0.7 0 0 1 1 88 1621804407 1621804419 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 8.8.8.8 10.0.0.7 0 0 1 1 56 1621804407 1621804419 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 10.0.1.115 0 0 1 1 88 1621804407 1621804419 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 52.93.28.255 10.0.0.7 0 0 1 1 56 1621804407 1621804419 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 99.83.68.209 10.0.0.7 0 0 1 1 96 1621804407 1621804419 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 10.0.1.115 0 0 1 1 56 1621804407 1621804419 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 240.0.28.31 10.0.0.7 0 0 1 1 88 1621804407 1621804419 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 8.8.8.8 39356 33460 17 1 60 1621804407 1621804419 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 59547 33441 17 1 60 1621804420 1621804430 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 59534 123 17 1 76 1621804420 1621804430 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 35476 33434 17 1 60 1621804420 1621804430 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 162.142.125.145 10.0.0.7 50182 9203 6 1 44 1621804420 1621804430 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 46236 33467 17 1 60 1621804420 1621804430 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 8.8.8.8 31691 33475 17 1 60 1621804420 1621804430 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 8.8.8.8 51512 33458 17 1 60 1621804432 1621804445 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 50175 33454 17 1 60 1621804432 1621804445 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 108.59.2.24 32848 123 17 1 76 1621804432 1621804445 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 54379 33475 17 1 60 1621804432 1621804445 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 56061 33436 17 1 60 1621804432 1621804445 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 34645 33474 17 1 60 1621804432 1621804445 ACCEPT OK
